project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
actindo,mach_alliance_member,mach-certified-isv,,,,,,0,
adyen,mach_alliance_member,mach-certified-isv,,,,,,0,
agility cms,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
akeneo,mach_alliance_member,mach-certified-isv,,,,,,0,
algolia,mach_alliance_member,mach-certified-isv,,,,,,0,
alokai,mach_alliance_member,mach-certified-isv,,,,,,0,
amplience,mach_alliance_member,mach-certified-isv,,,,,,0,
aprimo,mach_alliance_member,mach-certified-isv,,,,,,0,
aws,mach_alliance_member,mach-certified-enablers,,,,,,0,
big commerce,mach_alliance_member,mach-certified-isv,,,,,,0,
bloomreach,mach_alliance_member,mach-certified-isv,,,,,,0,
bluestone pim,mach_alliance_member,mach-certified-isv,,,,,,0,
bold commerce,mach_alliance_member,mach-certified-isv,,,,,,0,
branding brand,mach_alliance_member,mach-certified-isv,,,,,,0,
braze,mach_alliance_member,mach-certified-isv,,,,,,0,
brink commerce,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
builder.io,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
cloudinary,mach_alliance_member,mach-certified-isv,,,,,,0,
commerce layer,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
commercetools,mach_alliance_member,mach-certified-isv,,,,,,0,
conscia,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
constructor,mach_alliance_member,mach-certified-isv,,,,,,0,
contentful,mach_alliance_member,mach-certified-isv,,,,,,0,
contentstack,mach_alliance_member,mach-certified-isv,,,,,,0,
coveo,mach_alliance_member,mach-certified-isv,,,,,,0,
creative force,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
dynamic yield,mach_alliance_member,mach-certified-isv,,,,,,0,
edgio,mach_alliance_member,mach-certified-enablers,,,,,,0,
emporix,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
enactor,mach_alliance_member,mach-certified-isv,,,,,,0,
fastly,mach_alliance_member,mach-certified-enablers,,,,,,0,
fluent commerce,mach_alliance_member,mach-certified-isv,,,,,,0,
fulfillmenttools,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
google cloud,mach_alliance_member,mach-certified-enablers,,,,,,0,
hygraph,mach_alliance_member,mach-certified-isv,,,,,,0,
inriver,mach_alliance_member,mach-certified-isv,,,,,,0,
iterable,mach_alliance_member,mach-certified-isv,,,,,,0,
kbrw,mach_alliance_member,mach-certified-isv,,,,,,0,
kibo,mach_alliance_member,mach-certified-isv,,,,,,0,
klevu,mach_alliance_member,mach-certified-isv,,,,,,0,
kontent.ai,mach_alliance_member,mach-certified-isv,,,,,,0,
mapp,mach_alliance_member,mach-certified-isv,,,,,,0,
marketplacer,mach_alliance_member,mach-certified-isv,,,,,,0,
mercaux,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
mirakl,mach_alliance_member,mach-certified-isv,,,,,,0,
mongodb,mach_alliance_member,mach-certified-enablers,,,,,,0,
mparticle,mach_alliance_member,mach-certified-isv,,,,,,0,
nacelle,mach_alliance_member,mach-certified-isv,,,,,,0,
netlify,mach_alliance_member,mach-certified-enablers,,,,,,0,
newstore,mach_alliance_member,mach-certified-isv,,,,,,0,
ninetailed,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
occtoo,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
omnium,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
onestock,mach_alliance_member,mach-certified-isv,,,,,,0,
optimove,mach_alliance_member,mach-certified-isv,,,,,,0,
patchworks,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
pimberly,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
pipe 17,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
reachfive,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
salsify,mach_alliance_member,mach-certified-isv,,,,,,0,
scaleflex,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
sheer id,mach_alliance_member,mach-certified-isv,,,,,,0,
sitoo,mach_alliance_member,mach-certified-isv,,,,,,0,
storyblok,mach_alliance_member,mach-certified-isv,,,,,,0,
storystream,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
stripe,mach_alliance_member,mach-certified-isv,,,,,,0,
talon.one,mach_alliance_member,mach-certified-isv,,,,,,0,
tenovos,mach_alliance_member,mach-certified-isv,,,,,,0,
trbo,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
uniform,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
vercel,mach_alliance_member,mach-certified-enablers,,,,,,0,
voucherify,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
vtex,mach_alliance_member,mach-certified-isv,,,,,,0,
vultr,mach_alliance_member,mach-certified-enablers,,,,,,0,
wyng,mach_alliance_member,mach-certified-startup-isv,,,,,,0,
xiatech,mach_alliance_member,mach-certified-isv,,,,,,0,
xtm,mach_alliance_member,mach-certified-isv,,,,,,0,
yext,mach_alliance_member,mach-certified-isv,,,,,,0,
